ensembl	hgnc
1	ENSG00000000003	11858
2	ENSG00000000005	17757
3	ENSG00000000419	3005
4	ENSG00000000457	19285
5	ENSG00000000460	25565
6	ENSG00000000938	3697
7	ENSG00000000971	4883
8	ENSG00000001036	4008
9	ENSG00000001084	4311
10	ENSG00000001167	7804
11	ENSG00000001460	28070
12	ENSG00000001461	25233
13	ENSG00000001497	25726
14	ENSG00000001561	3359
15	ENSG00000001617	10728
16	ENSG00000001626	1884
17	ENSG00000001629	22215
18	ENSG00000001630	2649
19	ENSG00000001631	1573
20	ENSG00000002016	9824
21	ENSG00000002079	31038
22	ENSG00000002330	936
23	ENSG00000002549	18449
24	ENSG00000002586	7082
25	ENSG00000002586	7082
26	ENSG00000002587	5194
27	ENSG00000002726	80
28	ENSG00000002745	16267
29	ENSG00000002746	22195
30	ENSG00000002822	6762
31	ENSG00000002834	6513
32	ENSG00000002919	14975
33	ENSG00000002933	24930
34	ENSG00000003056	6752
35	ENSG00000003096	22931
36	ENSG00000003137	20581
37	ENSG00000003147	5343
38	ENSG00000003249	28455
39	ENSG00000003393	443
40	ENSG00000003400	1500
41	ENSG00000003402	1876
42	ENSG00000003436	11760
43	ENSG00000003509	28816
44	ENSG00000003756	9902
45	ENSG00000003987	7454
46	ENSG00000003989	11060
47	ENSG00000004059	658
48	ENSG00000004139	17074
49	ENSG00000004142	23781
50	ENSG00000004399	9107
51	ENSG00000004455	362
52	ENSG00000004468	1667
53	ENSG00000004478	3720
54	ENSG00000004487	29079
55	ENSG00000004534	9903
56	ENSG00000004660	1469
57	ENSG00000004700	9948
58	ENSG00000004766	25956
59	ENSG00000004776	26511
60	ENSG00000004777	23085
61	ENSG00000004779	7694
62	ENSG00000004799	8812
63	ENSG00000004809	20302
64	ENSG00000004838	19412
65	ENSG00000004846	46
66	ENSG00000004848	18060
67	ENSG00000004864	10983
68	ENSG00000004866	11351
69	ENSG00000004897	1728
70	ENSG00000004939	11027
71	ENSG00000004948	1440
72	ENSG00000004961	4837
73	ENSG00000004975	3086
74	ENSG00000005001	14368
75	ENSG00000005007	9962
76	ENSG00000005020	15687
77	ENSG00000005022	10991
78	ENSG00000005059	26076
79	ENSG00000005073	5101
80	ENSG00000005075	9197
81	ENSG00000005100	16718
82	ENSG00000005102	7013
83	ENSG00000005108	22207
84	ENSG00000005156	6600
85	ENSG00000005175	26151
86	ENSG00000005187	10522
87	ENSG00000005189	24661
