first_col	r1	r2	r3	r4	r5
2637	1	0	0	1	0
2638	0	0	1	0	1
549	1	1	0	1	0
550	1	0	1	1	1
80	1	0	1	0	1
12536	1	0	1	1	1
12553	0	0	1	1	0
12554	1	0	1	0	0
2602	0	0	0	1	0
2606	0	0	1	1	1
2548	1	0	0	0	0
4187	1	1	0	0	0
6694	1	0	0	0	1
10691	1	0	1	0	0
11455	0	0	0	1	1
14411	1	0	0	0	1
12535	1	1	1	1	0
40	0	1	0	0	0
53	0	0	0	1	1
2622	0	0	1	1	1
9206	0	0	1	1	1
10959	0	0	0	1	0
10962	0	1	0	0	0
21481	1	0	0	1	1
28335	0	0	0	0	0
30866	0	1	0	1	0
6535	1	0	1	0	0
6541	1	0	0	0	1
6544	1	0	1	0	1
10922	0	1	1	0	1
10924	0	0	1	0	1
10928	1	1	0	0	0
11030	1	0	0	1	0
18168	0	0	0	0	0
2690	1	1	1	1	1
21350	1	0	1	0	0
2898	0	0	1	1	0
2911	0	0	1	0	1
8124	1	0	0	0	0
16354	0	0	0	0	1
249	0	1	0	0	0
250	0	0	1	1	1
251	0	0	0	0	0
252	1	1	0	1	0
253	0	1	0	1	0
255	1	1	0	1	1
256	1	0	0	1	1
2228	1	0	0	1	1
17027	0	1	0	0	0
405	1	0	0	0	1
409	0	1	1	1	1
410	1	0	0	1	0
411	1	0	1	1	1
5147	0	1	1	0	1
2625	0	1	1	0	0
4021	0	0	0	0	0
4796	0	1	1	1	0
23408	1	0	1	1	1
1564	1	0	0	0	1
17929	0	0	1	0	0
2719	0	1	0	0	0
4908	0	1	0	0	0
4801	0	0	0	1	0
4803	0	1	0	0	0
92	1	1	0	1	1
119	0	0	0	1	1
3247	0	0	0	1	1
5213	1	0	0	1	0
82	1	1	0	1	1
42	1	0	1	1	0
74	0	1	1	1	1
2645	0	0	1	1	1
2646	1	1	0	0	0
6833	0	0	0	0	0
6834	0	1	1	0	1
123	0	1	1	1	1
124	0	1	0	1	0
125	0	0	1	1	1
29609	1	1	1	0	0
2610	1	1	0	1	1
2631	1	1	1	0	1
10982	0	0	0	1	1
10983	0	1	1	0	0
18966	1	0	0	1	1
4092	1	0	1	0	0
4093	0	0	1	0	0
4432	0	1	1	1	0
4433	1	1	0	1	1
406	0	1	1	1	0
10942	1	1	0	1	1
11453	0	1	0	1	1
11454	0	0	0	0	1
29437	1	0	0	0	1
30927	0	1	0	1	1
51	0	1	1	0	0
11458	0	1	0	1	1
10937	1	1	0	0	1
553	1	1	0	1	1
404	1	1	1	1	0
407	1	1	1	1	0
6059	1	0	0	0	1
10934	1	1	1	0	0
10935	1	0	0	0	1
2623	1	1	0	1	1
2621	0	1	1	1	1
18149	1	1	0	0	1
17968	1	1	0	0	0
21298	1	1	1	1	1
79	0	0	0	1	0
23	0	0	1	0	0
412	0	0	0	0	0
18761	1	0	1	0	0
11042	0	1	1	0	0
11044	1	1	1	0	1
11045	1	0	0	1	1
11046	0	0	1	0	0
83	0	0	0	0	0
93	0	1	1	0	0
94	1	0	1	1	1
84	0	0	0	0	1
85	0	0	0	1	0
15814	0	0	1	0	1
16091	1	0	0	1	1
24723	0	1	0	0	0
95	1	0	0	0	1
9959	1	0	0	0	1
19980	0	0	0	1	1
17174	0	1	1	0	1
8907	1	0	1	1	1
8966	1	1	1	0	0
17996	0	0	0	1	0
108	1	0	1	0	1
10936	0	1	0	0	0
115	1	0	1	0	0
12530	1	1	1	0	1
12538	1	0	1	1	0
12541	0	0	1	0	0
54	0	0	1	0	1
19237	1	1	1	1	1
16140	0	1	0	0	0
10933	0	0	0	0	0
89	1	0	1	1	1
91	1	0	1	0	1
21497	1	0	0	1	1
21597	1	1	1	0	1
30211	1	0	0	1	0
87	0	0	1	0	0
90	0	1	1	0	0
6186	0	1	0	0	0
24436	0	1	1	0	0
3594	1	1	1	0	1
177	0	0	1	0	0
117	0	1	1	0	0
6115	0	0	1	0	0
118	0	1	0	0	1
120	0	0	1	1	1
122	1	1	1	1	0
1421	0	1	1	0	1
19119	1	1	1	1	1
750	0	0	1	0	0
